"country","iso3c","year","status","lastupdated","population","gdp_per_capita_ppp","life_expectancy","youth_unemployment","internet_use","region","capital","longitude","latitude","income","lending"
"Brazil","BRA",2000,NA,"2026-07-13",174018282,14005.3471874231,69.584,20.327,2.87068515854108,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2001,NA,"2026-07-13",176301203,14016.1313772236,69.98,20.019,4.52849486902851,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2002,NA,"2026-07-13",178503484,14265.9048770292,70.396,20.603,9.14942508560748,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2003,NA,"2026-07-13",180622688,14259.3664089322,70.884,21.382,13.2075861035303,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2004,NA,"2026-07-13",182675143,14911.2609608592,71.361,20.034,19.073672274442,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2005,NA,"2026-07-13",184688101,15221.0138281541,71.832,21.399,21.022747248827,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2006,NA,"2026-07-13",186653106,15657.4795716983,72.296,19.883,28.17840004,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2007,NA,"2026-07-13",188552320,16440.583740032,72.73,18.795,30.87999916,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2008,NA,"2026-07-13",190367302,17113.3679822643,73.111,17.556,33.83,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2009,NA,"2026-07-13",192079951,16939.4407810328,73.457,19.774,39.22,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2010,NA,"2026-07-13",193701929,18062.1581103659,73.779,18.239,40.65,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2011,NA,"2026-07-13",195284734,18627.8104529397,74.047,16.928,45.69,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2012,NA,"2026-07-13",196876111,18832.2195527075,74.335,15.854,48.56,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
"Brazil","BRA",2013,NA,"2026-07-13",198478299,19241.5059815726,74.609,15.7,51.04,"Latin America & Caribbean","Brasilia",-47.9292,-15.7801,"Upper middle income","IBRD"
