,country,iso3c,year,lastupdated,population,gdp_per_capita_ppp,life_expectancy,youth_unemployment,CO2_emissions,internet_use,education_enrolment,region,capital,longitude,latitude,income,lending
20,Brazil,BRA,2020,2026-07-13,208660842,17327.5157249466,74.506,30.267,2.1466461829,81.34269353,103.882659912109,Latin America & Caribbean,Brasilia,-47.9292,-15.7801,Upper middle income,IBRD
62,"Egypt, Arab Rep.",EGY,2020,2026-07-13,109315124,15309.2359881835,69.79,18.463,2.25205800434348,71.91420096,79.6544750074231,"Middle East, North Africa, Afghanistan & Pakistan",Cairo,31.2461,30.0982,Lower middle income,IBRD
83,France,FRA,2020,2026-07-13,67601110,49311.333409639,82.1756097560976,20.398,4.24677642127474,84.70639801,104.566566467285,Europe & Central Asia,Paris,2.35097,48.8566,High income,Not classified
104,Germany,DEU,2020,2026-07-13,83160871,60299.5767710809,81.0414634146342,7.862,7.72103264767393,89.81294133,101.307800292969,Europe & Central Asia,Berlin,13.4115,52.5235,High income,Not classified
125,Ghana,GHA,2020,2026-07-13,31887809,6412.68541762469,64.309,6.319,0.71957907173867,62.51760101,74.0102186341371,Sub-Saharan Africa,Accra,-0.20795,5.57045,Lower middle income,IDA
146,India,IND,2020,2026-07-13,1402617695,7186.86447099679,70.156,24.666,1.68040016064392,43.40544313,77.6271548412386,South Asia,New Delhi,77.225,28.6353,Lower middle income,IBRD
167,Jordan,JOR,2020,2026-07-13,10865228,9872.3094512325,75.583,42.458,1.9279853124113,78.4178009,90.1992992911958,"Middle East, North Africa, Afghanistan & Pakistan",Amman,35.9263,31.9497,Lower middle income,IBRD
209,"Korea, Rep.",KOR,2020,2026-07-13,51836239,49374.0926148025,83.4268292682927,10.143,11.9094442789339,96.50506052,97.0888214111328,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
230,Mexico,MEX,2020,2026-07-13,126799054,19728.4817827455,70.449,8.053,3.46247141559905,71.49017499,102.58154296875,Latin America & Caribbean,Mexico City,-99.1276,19.427,Upper middle income,IBRD
251,Morocco,MAR,2020,2026-07-13,36584208,8054.56298828125,73.133,26.795,1.84742826740981,84.12036305,80.3087996541375,"Middle East, North Africa, Afghanistan & Pakistan",Rabat,-6.8704,33.9905,Lower middle income,IBRD
272,Nigeria,NGA,2020,2026-07-13,213996181,7664.21099575168,53.072,10.842,0.555700571123744,31.88879967,44.1220893859863,Sub-Saharan Africa,Abuja,7.48906,9.05804,Lower middle income,Blend
293,South Africa,ZAF,2020,2026-07-13,60562381,13250.5666594456,65.15,59.607,7.4445834618028,72.1128006,103.501178102472,Sub-Saharan Africa,Pretoria,28.1871,-25.746,Upper middle income,IBRD
335,Turkiye,TUR,2020,2026-07-13,83384680,28976.7179161611,76.525,24.919,5.07395962903497,77.6695605,112.527458190918,Europe & Central Asia,Ankara,32.3606,39.7153,Upper middle income,IBRD
356,United Kingdom,GBR,2020,2026-07-13,66740000,47930.5490378931,80.331756097561,13.365,4.79017680551393,94.81820132,114.617248535156,Europe & Central Asia,London,-0.126236,51.5002,High income,Not classified
377,United States,USA,2020,2026-07-13,331578104,67406.8311325507,76.9804878048781,14.891,13.4715665664099,90.34470367,100.509819030762,North America,Washington D.C.,-77.032,38.8895,High income,Not classified
398,Viet Nam,VNM,2020,2026-07-13,98079191,11851.3965685649,75.383,6.546,3.5515331687432,70.30000012,93.1921389514105,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
